user_id,movie_id,rating,genre
391,77,4,Romance
542,33,5,Romance
882,2,1,Action
699,69,3,Action
788,83,3,Horror
115,38,4,Comedy
162,59,1,Horror
977,93,3,Comedy
996,65,2,Adventure
520,14,3,Sci-Fi
862,82,5,Drama
624,26,2,Drama
383,98,2,Adventure
553,100,5,Adventure
941,1,5,Comedy
332,63,1,Drama
115,47,3,Horror
246,8,2,Comedy
900,73,1,Adventure
88,94,4,Action
836,9,5,Adventure
785,17,2,Adventure
676,61,5,Drama
170,34,5,Romance
894,78,4,Sci-Fi
988,28,5,Romance
774,94,2,Action
731,40,4,Comedy
688,84,3,Drama
449,67,4,Sci-Fi
124,32,2,Comedy
66,44,1,Comedy
603,71,2,Action
603,29,1,Comedy
73,91,1,Drama
235,9,1,Adventure
881,43,1,Sci-Fi
527,31,3,Adventure
686,63,2,Drama
553,17,5,Adventure
591,61,2,Drama
804,61,4,Drama
195,13,1,Sci-Fi
675,56,3,Romance
434,53,4,Documentary
885,94,1,Action
690,84,1,Drama
63,52,3,Horror
820,14,2,Sci-Fi
197,25,5,Horror
460,18,4,Sci-Fi
188,36,4,Action
256,10,4,Action
828,71,1,Action
52,84,5,Drama
857,2,1,Action
949,97,2,Drama
171,53,4,Documentary
493,28,4,Romance
925,8,2,Comedy
389,1,4,Comedy
272,59,3,Horror
434,90,5,Sci-Fi
678,92,4,Documentary
159,25,3,Horror
223,8,5,Comedy
754,70,1,Sci-Fi
766,41,1,Horror
52,75,4,Comedy
515,68,2,Romance
59,66,1,Horror
872,24,1,Romance
610,9,2,Adventure
414,16,5,Sci-Fi
253,75,5,Comedy
41,80,1,Adventure
430,85,5,Sci-Fi
579,67,3,Sci-Fi
958,34,2,Romance
686,92,3,Documentary
245,34,4,Romance
135,86,3,Horror
469,41,1,Horror
10,59,5,Horror
577,13,1,Sci-Fi
551,28,5,Romance
272,17,3,Adventure
903,9,2,Adventure
379,37,2,Documentary
449,70,3,Sci-Fi
627,84,5,Drama
9,86,5,Horror
307,85,1,Sci-Fi
962,18,3,Sci-Fi
119,14,5,Sci-Fi
160,35,3,Horror
620,27,3,Sci-Fi
209,88,3,Adventure
518,63,3,Drama
928,7,1,Comedy
650,55,3,Drama
46,1,3,Comedy
790,17,3,Adventure
166,95,4,Comedy
565,91,4,Drama
575,2,1,Action
78,89,2,Romance
559,5,3,Sci-Fi
597,71,2,Action
441,17,1,Adventure
316,47,1,Horror
921,46,2,Sci-Fi
699,32,1,Comedy
363,100,5,Adventure
906,53,5,Documentary
768,20,2,Horror
886,21,2,Action
903,53,1,Documentary
184,95,3,Comedy
802,53,2,Documentary
274,21,1,Action
392,5,4,Sci-Fi
228,26,4,Drama
359,40,2,Comedy
229,4,2,Sci-Fi
409,43,3,Sci-Fi
886,9,3,Adventure
360,83,5,Horror
410,87,5,Adventure
340,4,1,Sci-Fi
899,34,2,Romance
595,34,1,Romance
112,77,4,Romance
354,94,3,Action
447,78,5,Sci-Fi
119,50,5,Comedy
195,33,1,Romance
726,56,1,Romance
533,69,2,Action
373,56,1,Romance
972,86,3,Horror
639,41,1,Horror
738,39,5,Adventure
317,86,4,Horror
335,52,3,Horror
568,17,2,Adventure
431,86,4,Horror
694,96,2,Drama
631,73,3,Adventure
416,71,1,Action
312,37,2,Documentary
441,75,5,Comedy
671,42,4,Romance
453,57,2,Romance
524,61,2,Drama
675,11,3,Action
528,85,5,Sci-Fi
344,12,2,Comedy
689,40,2,Comedy
826,26,2,Drama
26,6,2,Drama
487,79,1,Documentary
467,54,5,Romance
200,92,4,Documentary
507,52,2,Horror
152,84,1,Drama
915,97,1,Drama
798,55,2,Drama
181,90,5,Sci-Fi
476,7,5,Comedy
256,16,4,Sci-Fi
137,60,5,Comedy
573,77,3,Romance
973,97,4,Drama
